fid,OBJECTID,Name,Contact,Address,Longitude,Lattitude
57,82052,Abdali Grammar School,+92 344 4644036,"Abdali Rd, Lahore 54000, Pakistan",74.2904083,31.5643556
58,82069,MD High School,+92 300 4450533,"Chohan Rd, Lahore, Pakistan",74.289283,31.565855
59,82070,AL-AYESHA SCHOOL SYSTEM,+92 42 37151729,"Sanda, Lahore, Pakistan",74.2893177,31.5664655
60,82093,Mosque gulzaray madina shah faysiyal street,+92 304 4651511,"Shah Faisal St, Lahore, Pakistan",74.2901023,31.578634
61,82112,Govt M.I Happy High School,,"Sanda Rd, Lahore, Pakistan",74.29193828,31.56318988
62,82144,FACES VTP,,"Khokar, Pakistan",74.29226,31.589003
63,82176,the Knowedge Homledge e,+92 321 4196841,"Lahore, Pakistan",74.2945135,31.5788813
64,82181,The Knowledge Home Leaders Campus,+92 336 1002006,"Rashid Rd, Lahore, Pakistan",74.2938674,31.5831357
65,82192,Bright Way School And Avademy,,"Krishan Nagar, Lahore, Pakistan",74.2946436,31.5654133
66,82195,St. Paul's,,"Krishan Nagar, Lahore, Pakistan",74.2931718,31.5658663
67,82205,Pak Turk Intl School,,"Abdali Rd, Lahore, Pakistan",74.2946791,31.5693072
68,82208,Madrassa Azzizya,,"Islampura, Lahore, Pakistan",74.2956875,31.5695206
69,82209,"Govt. Technical Training Institute For Women, Kamal Ganj, Lahore. (TEVTA)",,"Lahore, Pakistan",74.2952552,31.5750627
70,82223,Shining High School,,"street 4 amin park, Ravi Rd, Lahore, Pakistan",74.2949739,31.5872807
71,82233,Mizan School and Academy,,"80 Qari Rd, Lahore, Pakistan",74.2957391,31.5626393
72,82284,Faisal Girls High School,,"Amar Rd, Bilal Gunj, Data Gunj Bakhsh Town, Lahore, Punjab, Lahore, Pakistan",74.2973495,31.5827786
73,82317,Lahore Model School For Boys,+92 42 37238603,"Dev Samaj Road, Lahore, Pakistan",74.2992169,31.5703543
74,82332,City District Govt Boys High School,,"Sheesh Mahel, Data Gunj Bakhsh Town, Lahore, Punjab, Lahore, Pakistan",74.2998128,31.5791646
75,82350,Kaswa Public School,,"Makkah Rd, Kareem Park, Data Gunj Bakhsh Town, Lahore, Punjab, Lahore, Pakistan",74.2986218,31.593557
76,82392,Muslil High School No2..,,"zila kachry, Lahore, Pakistan",74.30128291,31.57372799
77,82406,Allied School Al-Taimoor Campus,+92 301 8428403,"Lahore, Pakistan",74.3013089,31.5828803
78,82409,Alrai Girls High School,,"Kardar Park, Lahore, Pakistan",74.3005237,31.5834024
79,82410,JAMIA KARIMIA SADIDIA,,"Lahore, Pakistan",74.2981429,31.5821651
80,82458,"Govt. Vocational Training Institute, Dev Samaj Road, Lahore. (TEVTA)",,"32, 13/32 Dev Samaj Road, Lahore, Pakistan",74.3024599,31.5701238
81,82462,Government Muslim Model School,,"Shaykh Abdul Qadir Jilani Rd, Lahore, Pakistan",74.3024712,31.5743697
82,82468,govt muslim boys high school,,"5/10,hajvery park, Rettigan Rd, Lahore 54000, Pakistan",74.3027224,31.5741328
83,82472,Govt Central Model School No# 2,,"Rettigan Rd, Lahore, Pakistan",74.3032045,31.575157
84,82475,M2 LAB Deptt. Of Env. Sci.,,"Lahore, Pakistan",74.2997284,31.5761878
85,82478,Muhammadia Girls High School,,"Mohni Rd, Lahore, Pakistan",74.302264,31.5827197
86,82499,Suffah School System (Suffah Trust),+92 42 37112492,"Mehmood Street No. 11, Lahore, Pakistan",74.3018574,31.5842683
87,82503,Starlet School,+92 42 37704166,"Lahore, Pakistan",74.3016996,31.5912799
88,82540,John Macdonald High School,+92 42 37352132,"46 Lower Mall, Lahore, Pakistan",74.3042587,31.5648146
89,82542,Joan McDonald High School,,"Lower Mall Rd, Islampura, Lahore, Punjab, Lahore 54000, Pakistan",74.30447,31.56494
90,82574,Government Islamia High School,,"Khazana Gate, lower Mall، Lahore, Pakistan",74.3043053,31.5714718
91,82589,EFA SCHOOL NASEEM CAMPUS,+92 42 37722544,"Kacha Ravi Rd, Lahore, Pakistan",74.3039891,31.5895738
92,82592,Farooqi Grammar School,,"Data Gunj Bakhsh Town, Lahore, Pakistan",74.3049769,31.5875763
93,82628,Edge System International,+92 312 4571881,"Lower Mall, Lahore, Pakistan",74.3035941,31.566057
94,82635,"Government Islamia High School, Khazana Gate, Lower Mall",,"Lahore, Pakistan",74.3050238,31.5711893
95,82646,Government Central Model High School,,"Lahore, Pakistan",74.3063521,31.5760584
96,82703,Moon Public School For Junior Boys,,"Ravi Park, Lahore, Pakistan",74.3062941,31.5964801
97,82704,Allied School Ravi Road Campus,+92 42 37724484,"Ravi Park, Lahore, Pakistan",74.306556,31.5961103
98,82713,"Government Vocational Training Institute, RSLN, Lahore. (TEVTA)",+92 305 4784834,"Anarkali, Lahore, Pakistan",74.3078502,31.5627293
99,82722,National Cllege Of Arts,,"Anarkali, Lahore, Pakistan",74.308052,31.5686553
100,82729,Govt. Saleem Model High School,,"Lower Mall, Lahore, Pakistan",74.3071463,31.5753903
101,82738,Govt. Junior Muslim Model School No 2,,"Chatterjee Rd, Lahore, Pakistan",74.3080171,31.5752821
102,82773,MCL Boys High School QLS,,"Lahore, Pakistan",74.3076365,31.5959257
103,82912,Kings Academy,+92 42 37720080,"Nabi Park, Lahore, Pakistan",74.30999332,31.59878658
104,82917,Azan Grammer School,,"7- Street # 1, Lahore, Pakistan",74.3098712,31.6056503
105,82980,Government Saint Francis High School,,"Anarkali, Lahore, Pakistan",74.3109046,31.5719497
106,83023,Government Victoria Girls Higher Secondary School,+92 315 7091000,"Circular Rd, Lahore, Pakistan",74.3115342,31.5794346
107,83024,Bhati Gate Police Station,+92 323 8417966,"Qadimi Shehar, Lahore 54030, Pakistan",74.3090281,31.5790835
108,83058,Trust Modal Public High School,,"Abu Bakr Rd, Lahore 5404, Pakistan",74.3106584,31.5987803
109,83061,Imran Public School,,"Badami Bagh, Lahore, Pakistan",74.3120881,31.6047638
110,83231,Sacred Heart Convent,+92 322 4863361,"Napier Rd, Lahore, Pakistan",74.3150453,31.5675531
111,83309,Street Old Asifa School,,"Said Mitha Bazar, Lahore, Pakistan",74.31332624,31.58260133
112,83328,Banat-ul-Islam School,,"Badami Bagh, Lahore, Pakistan",74.3127705,31.6045047
113,83416,Al Karam High School,+92 323 1234567,"13 Badami Bagh Flyover, Lahore, Pakistan",74.3169817,31.5989628
114,83417,Al-Faizan Mohi UD Din School,+92 311 4666506,"Al-Faizan Mohi UD Din School, Pakistan",74.3167138,31.5982112
115,83479,Sir syed School syestem and Acedmi,,"6, Lahore, Pakistan",74.3177193,31.5729723
116,83481,Allama Iqbal Foundation High School,,"13, Railway Rd, Gawal Mandi, Lahore, Punjab, Lahore, Pakistan",74.3176711,31.572713
117,83601,Government Mohammadia Girls High School,,"Badami Bagh, Lahore, Pakistan",74.3186903,31.5990985
118,83646,Iqra Hadeeqa Itfaal,,"Gawalmandi, Lahore, Pakistan",74.320182,31.5693622
119,83668,Moon Light School System,+92 42 37312560,"Gawalmandi, Lahore, Pakistan",74.319609,31.5707043
120,83767,Govt Rang Mahal Christian High School,,"Shah Alam Rd, Qadimi Shehr, Lahore, Punjab, Lahore, Pakistan",74.31884,31.58183
121,83771,Fairy Land High School,+92 42 37656927,"Kucha Chabuk Sowaran, Lahore, Pakistan",74.3192874,31.5823751
122,83798,Mdrsa Tjwed Ul Quran,,"Kucha kundigaran,, Lahore, Pakistan",74.3187218,31.5848202
123,83857,Al Madina High School,+92 312 0422522,"street no12 house no 4 data nager, Lahore, Pakistan",74.3214262,31.5988763
124,83997,Government Girls High School TEHZEEB-UL-BINAT,,"RANG MAHAL LAHORE, Lahore, Pakistan",74.3214583,31.5766754
125,84015,Green Land Society of Special Education,+92 42 36306171,"122-A Khizer Park، Maulana Obaid Ullah Anwar Road، Garhi Shahu، Lahore 54000, Pakistan",74.32137254,31.58674476
126,84105,Jamia Bab Ul Uloom,+92 334 7070725,"Raiwind, Pakistan",74.2201942,31.2545319
127,84140,Bahria School Orchard Campus,+92 42 35451200,"Lahore, Pakistan",74.2188497,31.3220118
128,84149,Jinnah Islamia High School Railway Colony,,"near masjid karma wali railway colony raiwind distt lahore, Raiwind, Pakistan",74.2232627,31.2527192
129,84169,The Gateway International School,+92 333 4437007,"Raiwind, Pakistan",74.22666,31.258855
130,84179,The Smart School Raiwind Campus,,"District,, Lahore, Pakistan",74.2254715,31.2730291
131,84233,Al-Zoha School Systems,+92 313 4000310,"Sue-e-Asal Rd, Rakh Jodhu, Pakistan",74.2357966,31.2649975
132,84241,Govt Middle School,,"Lalyani Rd, Jalalpura, Raiwind, Punjab, Jalal Pura, Pakistan",74.23812491,31.25729822
133,84244,Primary School,,"Lahore, Pakistan",74.2393184,31.3209041
134,84248,Primary School,,"Lahore, Pakistan",74.2442114,31.3262889
135,84253,Primary School,,"Lahore, Pakistan",74.2460561,31.3197997
136,84269,Govt Primary School,+92 336 4121070,"haveli aslam, Haveli Aslam Wali, Pakistan",74.27521621,31.28307175
137,84528,Govt High School,,"Multan Rd, Sham ki Bhattian, Punjab, Shamkay Bhattian, Pakistan",74.1120671,31.3322426
138,84613,Allied School,+92 300 4465394,"SUNNDAR ADDA MULTAN ROAD NEW LAHORE CITY LAHORE, 1 N-5, Sundar 54000, Pakistan",74.1304207,31.3562389
139,84646,Zahur Ahmed Public School,,"Zahur Town, Mohnalwaal, Lahore, Pakistan",74.1420256,31.3919438
140,84682,Govt Higher Secondary School Maraka,,"Maraka, Pakistan",74.1491324,31.385668
141,84683,Govt High School Maraka,,"Maraka, Pakistan",74.1492079,31.3856852
142,84807,TCF School Pepsi Campus,+92 42 111 823 823,"Chung, Pakistan",74.1629753,31.4224107
143,84818,GATTI TEVTA,+92 42 99239016,"Sundar Industrial Estate, Pakistan",74.1680347,31.2875827
144,84845,Bahria Town Sector A Preschool for Boys & Girls,+92 42 35453936,"Beijing Blvd, Lahore, Pakistan",74.1650073,31.3894928
145,84866,Allied School,+92 321 5275113,"Main Hudiara Road, Lahore, Lahore, Pakistan",74.1683149,31.3988137
146,84889,Future Vision School,+92 334 9788670,"Chung, Pakistan",74.16873537,31.42551033
147,84912,YCHR-CRT Office,+92 300 8433173,"Bahria Town, Lahore, Pakistan",74.1695066,31.3786837
148,84920,Quran Superior Academy,+92 345 4919333,"Lahore, Pakistan",74.1703802,31.3984679
149,84936,Allied School Hamza Campus,+92 42 37499244,"Main Ghaus-e-Azam Road Opp. Azmeer Town, Chung, Pakistan",74.1725421,31.4278758
150,84939,Ideal Grammar school,,"chowk jhanda, Multan Rd, Lahore, Pakistan",74.17369373,31.431544
151,85000,Junior Leaders School Foundation,+92 42 35966667,"9-, Ali Akbar Rd, Mohlanwal, Pakistan",74.17650469,31.40028029
152,85023,Affaq Public High School,,"Multan Rd, Shahab Colony, Chung, Lahore, Punjab, Lahore, Pakistan",74.17552,31.42654
153,85039,Future Vision School,+92 322 4585898,"Multan Rd, Chung, Pakistan",74.1740656,31.4307618
154,85045,Lahore English High School of Sciences,,"Shadab Colony, 01 Multan Rd, Chung, Pakistan",74.1766562,31.4277648
155,85063,"Government Advance Technical Training Institute, Sundar, Lahore. (TEVTA)",,"Sundar Industrial Estate, Pakistan",74.1787953,31.2811108
156,85081,Beaconhouse Bahria Town Sector C Campus (Premier Branch),+92 323 4056149,"Sector C, Lahore, Pakistan",74.1817946,31.3681975
157,85096,Message Grammar School,+92 42 35961942,"Block M,, Canal Bank Rd, Lahore, Pakistan",74.181733,31.4111217
158,85112,Excellence Public School (EPS),+92 334 1071155,"Multan Rd, Chung, Pakistan",74.17767625,31.42840792
159,85119,Zeeshan Model School,,"Chung, Pakistan",74.1783967,31.4341679
160,85153,Bahria Town School Sector M Campus,+92 42 35976310,"Commercial Zone Sector C, Lahore, Pakistan",74.1854638,31.3679631
161,85217,"Bahria Town School & College, Sector B Girls Campus",+92 42 37862641,"Sector-B, Bahria Town Main Blvd, Lahore, Pakistan",74.1850969,31.3807982
162,85354,Allied School-Jubilee Town Campus,+92 334 1001005,"No.360, Main Blvd, Lahore, Pakistan",74.1903711,31.4066554
163,85403,Great Chancellors High School,,"Manga - Raiwind Rd, Raiwind, Punjab, Raiwind, Pakistan",74.2006179,31.2477052
164,85406,"Government Christian Institute, Raiwind",,"Raiwind, Pakistan",74.2099401,31.2375638
165,85444,"St. Mary School, Mission Compound, Raiwind",,"Raiwind, Pakistan",74.211815,31.2381875
166,85447,"Government Primacy School, Jinnah Colony",+92 301 4542414,"Raiwind, Pakistan",74.2130327,31.2393984
167,85448,Govt Primary School Jinnah Abadi Raiwind,+92 315 3797373,"Jinnah Colony, Raiwind, Pakistan",74.2131605,31.2394165
168,85476,Iram Model School System,,"Manga-Raiwind Rd, Raiwind, Punjab, Raiwind, Pakistan",74.2121456,31.2453028
169,85509,Jamain tul Aloom Hazrat Karman Wala Shareef,,"Raiwind, Pakistan",74.2225331,31.2423476
170,85595,Govt Middel School,,"Manga, Pakistan",74.0502977,31.3070818
171,85596,Govt High School for girls,,"Manga, Pakistan",74.0539455,31.307421
172,85597,Twinkle Kids Education Complex,,"Manga, Pakistan",74.05535659,31.30869794
173,85599,Govt Primery School,,"Union concil Rd, Manga, Pakistan",74.0538655,31.3096875
174,85602,Govt. Primery School For Boys,,"Manga, Pakistan",74.0552276,31.3105193
175,85657,Madessa Faizan e Rasool,,"Union concil Rd, Manga Mandi, Pakistan",74.0647037,31.3033452
176,85698,Government higher secondary public school,+92 334 9792965,"Manga Mandi High School, Lahore Rd, Manga Mandi, Pakistan",74.0709523,31.3023168
177,85700,Javed High School,,"Multan Rd, Manga Mandi, Punjab, Manga Mandi, Pakistan",74.07114,31.30159
178,85701,Dar E Arqam School,+92 42 35385057,"Union concil Rd, Manga, Pakistan",74.0691295,31.2999611
179,85704,Govt High School,,"Multan Rd, Manga Mandi, Lahore 55270, Pakistan",74.07107,31.30123
180,85747,Minhaj Model High School,,"Manga - Raiwind Rd, Manga Mandi, Lahore, Punjab, Pakistan",74.0766569,31.2932242
181,85759,Aligarh Public School,,"Multan Rd, Manga Mandi, Lahore 55270, Pakistan",74.07873,31.30883
182,85762,Ali Garh Public School,+92 323 7007007,"Lahore, Pakistan",74.0800281,31.309116
183,85835,Gohar Educational Campus,+92 42 35384013,"Gohar Educational Campus manga mandi lahore punjab pakistan, 5400, Pakistan",74.099071,31.3150222
184,89626,Govt Primary School salmat Pura Niaz Baig Thokar,,"Lahore, Pakistan",74.236774,31.4837145
185,89631,Muhammadia Public School,+92 304 6692271,"Thokar Niaz Baig، Lahore, Pakistan",74.2361092,31.4919007
186,89633,CHRISTIAN PUBLIC HIGH SCHOOL,,"Niaz Beg, Lahore, Pakistan",74.2374049,31.485953
187,89639,Green Land Middle School,,"Niaz Beg, Lahore, Pakistan",74.2371368,31.4906353
188,89642,Government Primary School Ahmadabad,,"Lahore, Pakistan",74.2398816,31.4831367
189,89644,Lahore Garrison Grammar School,,"17 Multan Rd, Lahore, Pakistan",74.23999772,31.49760896
190,89663,American Lycetuff School - Khayaban e Quaid,,"Lahore, Pakistan",74.2470378,31.4923909
191,89677,Zubair Academy,,"3 Street Number 3, Lahore, Pakistan",74.2472875,31.5053507
192,89692,The Lords School,+92 342 6128788,"Maraghzar Colony, Lahore, Pakistan",74.24808424,31.49997369
193,89693,Locus of Knowledge High School (reg.),+92 321 4447259,"A43, Block-H-Marghzar colony، Lahore 54500",74.248785,31.500954
194,89695,Allied School,,"Maraghzar Colony, Lahore, Pakistan",74.2490494,31.5011229
195,89705,Dar Arqam School,,"3 Street Number 3, Lahore, Pakistan",74.2478076,31.5052404
196,89709,Educators School,,"Ittefaq Town, Lahore, Pakistan",74.2492494,31.5040928
197,89713,Government Girls High School Marghzar Colony,,"3 Street Number 3, Lahore, Pakistan",74.2477117,31.5042322
198,89715,Rana Academy,+92 42 37495535,"B-117 Marghzar Colony, Multan Road, Lahore., Lahore, Pakistan",74.2483038,31.505827
199,89731,"London Academic Plan School, Laps School System",+92 42 37845566,"Marghazar Rd, Lahore, Pakistan",74.2507124,31.5055137
200,89734,British School System,,"Maraghzar Colony, Lahore, Pakistan",74.2501664,31.5070777
201,89763,Standard Grammar School,+92 300 4938764,"44 A-1 Ahmed Housing Scheme, Lahore, Pakistan",74.2527469,31.4903161
202,89765,Allied School Saracens Campus,+92 42 37492484,"80-A, Omer Hayat Block, Khayaban-e-Quaid, Ittefaq Town, Lahore, Lahore, Pakistan",74.2519891,31.4915333
203,89767,Ittefaq Superior School,+92 333 4687211,"94 Ali Block, Lahore, Pakistan",74.2519838,31.4916613
204,89769,Al-Nisa Educational Institute,,"Ittefaq Town, Lahore, Pakistan",74.2524857,31.4921917
205,89770,Bright Future Grammar School,,"Ittefaq Town, Lahore, Pakistan",74.2528528,31.4918009
206,89771,The Knowledge School Quaid Campus,+92 42 37492733,"Ittefaq Town, Lahore, Pakistan",74.2517654,31.4925411
207,89775,The Rehman Education System,,"Lahore, Pakistan",74.252708,31.4995654
208,89778,Madrasa Nomaniya,,"Maraghzar Colony, Lahore, Pakistan",74.2519086,31.5019051
209,89779,CAPS Model School,,"House 22, G-Block, Marghzar Colony, Lahore, 5, Lahore, Pakistan",74.2512133,31.5043736
210,89781,The City School Boulevard Campus,+92 42 35911102,"3-, Al-Hafiz Town New Block Rd, Lahore, Pakistan",74.2514232,31.5095978
211,89798,The Hills School System,,"27 Multan Road, Lahore, Pakistan",74.2535096,31.4922466
212,89805,Sharif Educational Complex,+92 321 4400074,"Lahore, Pakistan",74.1970211,31.3333763
213,89829,Sharif College Of Nursing,,"Jati Umrah, Pakistan",74.1988629,31.3369083
214,89849,PAKTURK INTERNATIONAL SCHOOLS AND COLLEGES,,"Dream Gardens, Lahore, Pakistan",74.2085223,31.3944891
215,89866,BarkAt Markeet Garden Town Lahore,+92 300 0978508,"Lahore, Pakistan",74.2105664,31.4012124
216,89941,Maktab,+92 300 4995230,"10 km Raiwind Road, Wildlife Park Rd, Lahore, Pakistan",74.2218947,31.3808994
217,89942,Al Maktab School,,"Lahore, Pakistan",74.2208369,31.3815392
218,89969,Allied School Toheed Campus,+92 321 4741966,"12 Km, Raiwind Rd, Chamru Pur, Pakistan",74.2281818,31.3751472
219,89975,FMG High School Lahore,+92 321 7521835,"Bhobatian stop, 8km raiwind road, Lahore, Lahore, Pakistan",74.22963,31.401313
220,89983,Govt High School,,"Raiwind Rd, Chamrupur, Lahore, Punjab, Pakistan",74.2304,31.3764
221,90050,Govt Degree college for Girls,,"303-A Raiwind Rd, Lahore, Pakistan",74.2285778,31.4065874
222,90093,American Lycetuff Junior and Upper School,,"Lahore, Pakistan",74.2338789,31.3996837
223,90111,Govt High School,,"Raiwind Rd, Arayian Pind, Jati Umrah, Lahore, Punjab, Kot Araian, Pakistan",74.23682,31.33918
224,90176,School,+92 302 8479494,"Lake City,, Service Rd, Lahore, Pakistan",74.2508541,31.3546736
225,90198,Academia De Averroes,+92 42 35210500,"Block E1, Lahore, Pakistan",74.25373214,31.40486626
226,90206,Academia de Averroes School,,"Valencia, Lahore, Pakistan",74.2560366,31.4045486
227,90207,THE EDUCATORS VALENCIA CAMPUS,+92 300 4241078,"Valencia, Lahore, Pakistan",74.2560806,31.4045129
228,90264,Misber School,+92 300 4511541,"Block C1, Lahore, Pakistan",74.2592899,31.4048282
229,90274,Sir Syed Aligarh Public High School,+92 42 35953937,"Main Boulevard Khayaban-e-Amin, Lahore, Pakistan",74.2611237,31.3900871
230,90294,Pak Turk School,,"Street 2, Lahore, Pakistan",74.2633429,31.3807884
231,90594,Al Freed Elementary School,,"Lahore, Pakistan",74.2004813,31.465544
232,90596,Govt Girls High School,,"Multan Rd, Lahore, Pakistan",74.2006319,31.4660745
233,90605,Ravi Training Institute,+92 42 37512649,"Park View Villas Main Rd, Lahore, Pakistan",74.2018127,31.4589212
234,90623,Training Pakistan Center,+92 42 37512649,"Park View Villas Main Rd, Lahore, Pakistan",74.203334,31.4590961
235,90640,Roots International .dha,,"Block B, Lahore, Pakistan",74.2079325,31.4318644
236,90643,Lahore Grammar School,+92 42 37511486,"Gulshan E Ahbab Mohlanwal Road, Lahore, Pakistan",74.2064162,31.4478279
237,90663,Lahore English High School Khanpur,+92 322 4973654,"Multan Rd, Lahore 54000, Pakistan",74.20733,31.457732
238,90674,N.D.F. school ystem,+92 307 2436487,"Shahpur Kanjra, Pakistan",74.2097792,31.4607863
239,90810,Al-ghousia Public High School,+92 301 4028620,"Sultan Pura, shapur kanjra, Pakistan",74.2146219,31.4607086
240,90815,Allied Public School,,"B BLOCK, Lahore, Pakistan",74.2149065,31.4636591
241,90821,Lyceum School (Eden Campus),+92 42 35958256,"46-B, Lahore, Pakistan",74.2164445,31.4145345
242,90840,LGS ємє,,"136 phase 12, School Rd, Lahore, Pakistan",74.21545634,31.44799912
243,90850,Lahore Grammar School Landmark Project DHA EME,,136 H Block DHA EME Sector، Multan Rd، Lahore,74.2159149,31.4483691
244,90851,Lahore Grammar School Landmark Project DHA EME,+92 42 37512464,"136 H Block DHA EME Multan Road، Lahore 54000, Pakistan",74.215988,31.448394
245,90901,Iqra Madina Tul Atfal,,"Muhafiz Town Main Bulvd., Lahore, Pakistan",74.2175009,31.4528547
246,90941,Allied School Toheed Campus 2,+92 321 4741966,"6 Km Raiwind Road, Lahore, Pakistan",74.2201138,31.4101869
